ticker,mode,source,company_name,sector,days_tested,first_date,last_date,overnight_mean,overnight_median,overnight_std,overnight_win_rate,overnight_skew,overnight_kurtosis,overnight_t_stat,overnight_p_value,intraday_mean,intraday_median,intraday_std,intraday_win_rate,intraday_skew,intraday_kurtosis,intraday_t_stat,intraday_p_value,overnight_edge,median_edge,cumulative_overnight,cumulative_intraday,cumulative_buy_hold,overnight_share_of_total_return,intraday_share_of_total_return,max_drawdown_overnight_curve,max_drawdown_intraday_curve,rolling_3m_edge_mean,rolling_3m_pass_rate,rolling_6m_edge_mean,rolling_6m_pass_rate,rolling_12m_edge_mean,rolling_12m_pass_rate,top_5_overnight_gap_contribution,top_10_overnight_gap_contribution,top_20_overnight_gap_contribution,edge_after_cost_5bps,edge_after_cost_10bps,edge_after_cost_25bps,edge_after_cost_50bps,market_cap,current_price,avg_volume_60d,avg_dollar_volume_60d,raw_rows,clean_rows,duplicate_dates_removed,invalid_rows_removed,missing_open_close_ratio,adjustment_available,corporate_action_sensitive,sec_status,sec_recent_risk_count_180d,sec_recent_risk_count_365d,cik,sec_forms_checked,overnight_theme_score,rating
DEVS,raw_ohlc,yfinance,DevvStream Corp.,Industrials,392,2024-11-11,2026-06-05,0.004949046425040498,-0.004944985385540723,0.10385843368721293,0.3494897959183674,5.747562729889416,60.228675284186686,0.9434584806717822,0.3460290308227182,0.0001286028505958135,-0.01232078402243203,0.18656997598419822,0.4030612244897959,12.220768779656122,195.97204058396534,0.013647461351604712,0.9891182000597485,0.004820443574444684,0.0073757986368913064,0.31474378595983743,-0.9673221792827466,-0.9570370382732816,-0.08694171019119808,1.086941710191198,-0.818117277113453,-0.981486000752327,0.0159954465043097,0.693939393939394,0.00715774775980597,0.5318352059925093,0.010369163978583493,0.2624113475177305,0.3632368834402782,0.5254622457236182,0.6975998201131036,0.004320443574444685,0.0038204435744446843,0.0023204435744446843,-0.0001795564255553158,7684492,0.5799999833106995,20624206.666666668,8051303.546650198,393,393,0,0,0.0,True,False,checked,11,12,1854480,67,24.6409,D
DEVS,split_adjusted_ohlc,yfinance,DevvStream Corp.,Industrials,392,2024-11-11,2026-06-05,0.004949046425040498,-0.004944985385540723,0.10385843368721293,0.3494897959183674,5.747562729889416,60.228675284186686,0.9434584806717822,0.3460290308227182,0.0001286028505958135,-0.01232078402243203,0.18656997598419822,0.4030612244897959,12.220768779656122,195.97204058396534,0.013647461351604712,0.9891182000597485,0.004820443574444684,0.0073757986368913064,0.31474378595983743,-0.9673221792827466,-0.9570370382732816,-0.08694171019119808,1.086941710191198,-0.818117277113453,-0.981486000752327,0.0159954465043097,0.693939393939394,0.00715774775980597,0.5318352059925093,0.010369163978583493,0.2624113475177305,0.3632368834402782,0.5254622457236182,0.6975998201131036,0.004320443574444685,0.0038204435744446843,0.0023204435744446843,-0.0001795564255553158,7684492,0.5799999833106995,20624206.666666668,8051303.546650198,393,393,0,0,0.0,True,False,checked,11,12,1854480,67,24.6409,D
HIVE,raw_ohlc,yfinance,HIVE Digital Technologies Ltd.,Financial Services,3857,2011-02-03,2026-06-05,0.002434809818089849,0.0,0.11514995684410784,0.2641949701840809,36.76168751753384,1767.673556573969,1.313185516800262,0.189198580445042,0.001704660177442662,0.0,0.05137633069769016,0.2413793103448276,1.887326038786231,15.624230596479254,2.0606277850890993,0.03940549213203456,0.000730149640647187,0.0,-0.6364566265279605,4.605487405265449,1.037837801265232,-1.4213679067682985,2.4213679067682983,-0.9999851944232171,-0.9990196007354446,-0.002922989081170433,0.49064558629776023,0.0032621971158548675,0.5844051446945338,0.002420105627897776,0.6769273433166944,0.2357075605012257,0.2818329262378234,0.32281185628475556,0.00023014964064718701,-0.000269850359352813,-0.001769850359352813,-0.0042698503593528135,1008214144,3.7699999809265137,22155800.0,71141097.45007515,3858,3858,0,0,0.0,True,False,checked,5,6,1720424,8,0.0,D
HIVE,split_adjusted_ohlc,yfinance,HIVE Digital Technologies Ltd.,Financial Services,3857,2011-02-03,2026-06-05,0.002434809818089849,0.0,0.11514995684410784,0.2641949701840809,36.76168751753384,1767.673556573969,1.313185516800262,0.189198580445042,0.001704660177442662,0.0,0.05137633069769016,0.2413793103448276,1.887326038786231,15.624230596479254,2.0606277850890993,0.03940549213203456,0.000730149640647187,0.0,-0.6364566265279605,4.605487405265449,1.037837801265232,-1.4213679067682985,2.4213679067682983,-0.9999851944232171,-0.9990196007354446,-0.002922989081170433,0.49064558629776023,0.0032621971158548675,0.5844051446945338,0.002420105627897776,0.6769273433166944,0.2357075605012257,0.2818329262378234,0.32281185628475556,0.00023014964064718701,-0.000269850359352813,-0.001769850359352813,-0.0042698503593528135,1008214144,3.7699999809265137,22155800.0,71141097.45007515,3858,3858,0,0,0.0,True,False,checked,5,6,1720424,8,0.0,D
KULR,raw_ohlc,yfinance,"KULR Technology Group, Inc.",Technology,1980,2018-07-20,2026-06-05,0.004893155447572941,0.0,0.04962561869788285,0.38535353535353534,1.1292083323596105,23.495355201324703,4.387485292425684,1.2070017673804282e-05,-0.0018731253067230393,0.0,0.0729380950084999,0.31414141414141417,2.6282108984837285,21.4423820614256,-1.1427336343984156,0.2532874267451499,0.00676628075429598,0.0,1434.0380648489045,-0.9998103584429419,-0.7278571469443198,-5.5853614532439835,6.5853614532439835,-0.9957932033030882,-0.9999990273026135,-0.0067935840399083154,0.7262773722627737,-0.00212621389605977,0.7752021563342318,0.0019219610170042405,0.805668016194332,0.07360335438661264,0.12545977000775646,0.19270363365633789,0.006266280754295981,0.00576628075429598,0.004266280754295981,0.0017662807542959801,176239792,3.809999942779541,2075980.0,7247302.946929534,1981,1981,0,0,0.0,True,False,checked,3,6,1662684,35,53.5326,C
KULR,split_adjusted_ohlc,yfinance,"KULR Technology Group, Inc.",Technology,1980,2018-07-20,2026-06-05,0.004893155447572941,0.0,0.04962561869788285,0.38535353535353534,1.1292083323596105,23.495355201324703,4.387485292425684,1.2070017673804282e-05,-0.0018731253067230393,0.0,0.0729380950084999,0.31414141414141417,2.6282108984837285,21.4423820614256,-1.1427336343984156,0.2532874267451499,0.00676628075429598,0.0,1434.0380648489045,-0.9998103584429419,-0.7278571469443198,-5.5853614532439835,6.5853614532439835,-0.9957932033030882,-0.9999990273026135,-0.0067935840399083154,0.7262773722627737,-0.00212621389605977,0.7752021563342318,0.0019219610170042405,0.805668016194332,0.07360335438661264,0.12545977000775646,0.19270363365633789,0.006266280754295981,0.00576628075429598,0.004266280754295981,0.0017662807542959801,176239792,3.809999942779541,2075980.0,7247302.946929534,1981,1981,0,0,0.0,True,False,checked,3,6,1662684,35,53.5326,C
LAES,raw_ohlc,yfinance,SEALSQ Corp,Technology,761,2023-05-24,2026-06-05,0.008170129274589242,0.0,0.06843563242091777,0.49014454664914586,4.9725675036322485,48.64859171641939,3.2933582206775474,0.0010357919653369897,-0.0043224837663373376,-0.014669912112735939,0.0859899202192193,0.38633377135348224,2.0029603323757863,11.73618164330494,-1.3866860713223237,0.16594410871702367,0.01249261304092658,0.014669912112735939,108.48702892389852,-0.9973084808592179,-0.7053135659839591,-3.8432142732996373,4.843214273299637,-0.4853507010860897,-0.9987184866246136,-0.0031593086139009,0.899856938483548,-0.0010534675522337368,0.9858490566037735,0.005458228352523058,1.0,0.18727266433098344,0.2663095379367942,0.3548006337225247,0.011992613040926579,0.01149261304092658,0.009992613040926579,0.007492613040926579,712876800,3.200000047683716,13882705.0,41656921.69455528,762,762,0,0,0.0,True,False,checked,1,5,1951222,5,70.0,B
LAES,split_adjusted_ohlc,yfinance,SEALSQ Corp,Technology,761,2023-05-24,2026-06-05,0.008170129274589242,0.0,0.06843563242091777,0.49014454664914586,4.9725675036322485,48.64859171641939,3.2933582206775474,0.0010357919653369897,-0.0043224837663373376,-0.014669912112735939,0.0859899202192193,0.38633377135348224,2.0029603323757863,11.73618164330494,-1.3866860713223237,0.16594410871702367,0.01249261304092658,0.014669912112735939,108.48702892389852,-0.9973084808592179,-0.7053135659839591,-3.8432142732996373,4.843214273299637,-0.4853507010860897,-0.9987184866246136,-0.0031593086139009,0.899856938483548,-0.0010534675522337368,0.9858490566037735,0.005458228352523058,1.0,0.18727266433098344,0.2663095379367942,0.3548006337225247,0.011992613040926579,0.01149261304092658,0.009992613040926579,0.007492613040926579,712876800,3.200000047683716,13882705.0,41656921.69455528,762,762,0,0,0.0,True,False,checked,1,5,1951222,5,70.0,B
LASE,raw_ohlc,yfinance,Laser Photonics Corporation,Industrials,922,2022-10-03,2026-06-05,0.009206416786914222,0.0030804647341059477,0.08143242627975573,0.5184381778741866,12.854933469616661,257.378514030504,3.432880753870014,0.0006238053222492464,-0.002922587091437586,-0.01011814937718164,0.09162417849462852,0.403470715835141,3.0188421446186195,30.864834550219086,-0.9685517463420894,0.33302316070489846,0.012129003878351807,0.013198614111287588,604.1420725748985,-0.9980144325760535,0.20155038616418097,34.885728844911334,-33.885728844911334,-0.5256197775759444,-0.999007390754686,0.0054166307577612136,0.7930232558139535,0.011305878240244953,0.8130489335006273,0.011453877911845123,0.9374068554396423,0.22122654811817574,0.29288912336224376,0.3724330814034188,0.011629003878351807,0.011129003878351806,0.009629003878351807,0.007129003878351807,119561616,3.0999999046325684,12001038.333333334,31208780.664904714,923,923,0,0,0.0,True,False,checked,14,15,1807887,35,80.0,A
LASE,split_adjusted_ohlc,yfinance,Laser Photonics Corporation,Industrials,922,2022-10-03,2026-06-05,0.009206416786914222,0.0030804647341059477,0.08143242627975573,0.5184381778741866,12.854933469616661,257.378514030504,3.432880753870014,0.0006238053222492464,-0.002922587091437586,-0.01011814937718164,0.09162417849462852,0.403470715835141,3.0188421446186195,30.864834550219086,-0.9685517463420894,0.33302316070489846,0.012129003878351807,0.013198614111287588,604.1420725748985,-0.9980144325760535,0.20155038616418097,34.885728844911334,-33.885728844911334,-0.5256197775759444,-0.999007390754686,0.0054166307577612136,0.7930232558139535,0.011305878240244953,0.8130489335006273,0.011453877911845123,0.9374068554396423,0.22122654811817574,0.29288912336224376,0.3724330814034188,0.011629003878351807,0.011129003878351806,0.009629003878351807,0.007129003878351807,119561616,3.0999999046325684,12001038.333333334,31208780.664904714,923,923,0,0,0.0,True,False,checked,14,15,1807887,35,80.0,A
