ticker,filing_date,form,accession_number,primary_document,matched_keyword,filing_url,risk_category
SOUN,2026-05-27,8-K,0001213900-26-061610,ea0292095-8k_sound.htm,warrant,https://www.sec.gov/Archives/edgar/data/1840856/000121390026061610/ea0292095-8k_sound.htm,warrants_convertibles
WULF,2026-05-26,8-K,0001083301-26-000109,wulf-20260522.htm,offering,https://www.sec.gov/Archives/edgar/data/1083301/000108330126000109/wulf-20260522.htm,dilution
DEVS,2026-05-22,8-K,0001140361-26-022598,ef20074443_8k.htm,stock split,https://www.sec.gov/Archives/edgar/data/1854480/000114036126022598/ef20074443_8k.htm,reverse_split
DEVS,2026-05-22,8-K,0001140361-26-022598,ef20074443_8k.htm,delisting,https://www.sec.gov/Archives/edgar/data/1854480/000114036126022598/ef20074443_8k.htm,delisting_compliance
DEVS,2026-05-22,8-K,0001140361-26-022598,ef20074443_8k.htm,compliance,https://www.sec.gov/Archives/edgar/data/1854480/000114036126022598/ef20074443_8k.htm,delisting_compliance
LASE,2026-05-22,8-K,0001493152-26-025087,form8-k.htm,delisting,https://www.sec.gov/Archives/edgar/data/1807887/000149315226025087/form8-k.htm,delisting_compliance
LASE,2026-05-22,8-K,0001493152-26-025087,form8-k.htm,compliance,https://www.sec.gov/Archives/edgar/data/1807887/000149315226025087/form8-k.htm,delisting_compliance
SMTK,2026-05-20,10-Q,0001104659-26-064618,smtk-20260331x10q.htm,offering,https://www.sec.gov/Archives/edgar/data/1817760/000110465926064618/smtk-20260331x10q.htm,dilution
SMTK,2026-05-20,10-Q,0001104659-26-064618,smtk-20260331x10q.htm,registered direct,https://www.sec.gov/Archives/edgar/data/1817760/000110465926064618/smtk-20260331x10q.htm,other
SMTK,2026-05-20,10-Q,0001104659-26-064618,smtk-20260331x10q.htm,warrant,https://www.sec.gov/Archives/edgar/data/1817760/000110465926064618/smtk-20260331x10q.htm,warrants_convertibles
SMTK,2026-05-20,10-Q,0001104659-26-064618,smtk-20260331x10q.htm,convertible note,https://www.sec.gov/Archives/edgar/data/1817760/000110465926064618/smtk-20260331x10q.htm,warrants_convertibles
SMTK,2026-05-20,10-Q,0001104659-26-064618,smtk-20260331x10q.htm,going concern,https://www.sec.gov/Archives/edgar/data/1817760/000110465926064618/smtk-20260331x10q.htm,going_concern
SMTK,2026-05-20,10-Q,0001104659-26-064618,smtk-20260331x10q.htm,compliance,https://www.sec.gov/Archives/edgar/data/1817760/000110465926064618/smtk-20260331x10q.htm,delisting_compliance
SMTK,2026-05-20,10-Q,0001104659-26-064618,smtk-20260331x10q.htm,dilution,https://www.sec.gov/Archives/edgar/data/1817760/000110465926064618/smtk-20260331x10q.htm,dilution
VVOS,2026-05-20,10-Q,0001493152-26-024650,form10-q.htm,stock split,https://www.sec.gov/Archives/edgar/data/1716166/000149315226024650/form10-q.htm,reverse_split
VVOS,2026-05-20,10-Q,0001493152-26-024650,form10-q.htm,offering,https://www.sec.gov/Archives/edgar/data/1716166/000149315226024650/form10-q.htm,dilution
VVOS,2026-05-20,10-Q,0001493152-26-024650,form10-q.htm,at-the-market,https://www.sec.gov/Archives/edgar/data/1716166/000149315226024650/form10-q.htm,dilution
VVOS,2026-05-20,10-Q,0001493152-26-024650,form10-q.htm,ATM offering,https://www.sec.gov/Archives/edgar/data/1716166/000149315226024650/form10-q.htm,dilution
VVOS,2026-05-20,10-Q,0001493152-26-024650,form10-q.htm,warrant,https://www.sec.gov/Archives/edgar/data/1716166/000149315226024650/form10-q.htm,warrants_convertibles
VVOS,2026-05-20,10-Q,0001493152-26-024650,form10-q.htm,going concern,https://www.sec.gov/Archives/edgar/data/1716166/000149315226024650/form10-q.htm,going_concern
VVOS,2026-05-20,10-Q,0001493152-26-024650,form10-q.htm,delisting,https://www.sec.gov/Archives/edgar/data/1716166/000149315226024650/form10-q.htm,delisting_compliance
VVOS,2026-05-20,10-Q,0001493152-26-024650,form10-q.htm,compliance,https://www.sec.gov/Archives/edgar/data/1716166/000149315226024650/form10-q.htm,delisting_compliance
VVOS,2026-05-20,10-Q,0001493152-26-024650,form10-q.htm,dilution,https://www.sec.gov/Archives/edgar/data/1716166/000149315226024650/form10-q.htm,dilution
DEVS,2026-05-18,8-K,0001140361-26-021906,ef20074086_form8k.htm,delisting,https://www.sec.gov/Archives/edgar/data/1854480/000114036126021906/ef20074086_form8k.htm,delisting_compliance
DEVS,2026-05-18,8-K,0001140361-26-021906,ef20074086_form8k.htm,compliance,https://www.sec.gov/Archives/edgar/data/1854480/000114036126021906/ef20074086_form8k.htm,delisting_compliance
NOTV,2026-05-18,8-K,0001104659-26-063032,tm2614614d1_8k.htm,warrant,https://www.sec.gov/Archives/edgar/data/720154/000110465926063032/tm2614614d1_8k.htm,warrants_convertibles
NOTV,2026-05-18,8-K,0001104659-26-063032,tm2614614d1_8k.htm,convertible note,https://www.sec.gov/Archives/edgar/data/720154/000110465926063032/tm2614614d1_8k.htm,warrants_convertibles
SMTK,2026-05-18,DEF 14A,0001104659-26-063286,tm261615-3_def14a.htm,reverse split,https://www.sec.gov/Archives/edgar/data/1817760/000110465926063286/tm261615-3_def14a.htm,reverse_split
SMTK,2026-05-18,DEF 14A,0001104659-26-063286,tm261615-3_def14a.htm,stock split,https://www.sec.gov/Archives/edgar/data/1817760/000110465926063286/tm261615-3_def14a.htm,reverse_split
SMTK,2026-05-18,DEF 14A,0001104659-26-063286,tm261615-3_def14a.htm,offering,https://www.sec.gov/Archives/edgar/data/1817760/000110465926063286/tm261615-3_def14a.htm,dilution
SMTK,2026-05-18,DEF 14A,0001104659-26-063286,tm261615-3_def14a.htm,registered direct,https://www.sec.gov/Archives/edgar/data/1817760/000110465926063286/tm261615-3_def14a.htm,other
SMTK,2026-05-18,DEF 14A,0001104659-26-063286,tm261615-3_def14a.htm,warrant,https://www.sec.gov/Archives/edgar/data/1817760/000110465926063286/tm261615-3_def14a.htm,warrants_convertibles
SMTK,2026-05-18,DEF 14A,0001104659-26-063286,tm261615-3_def14a.htm,going concern,https://www.sec.gov/Archives/edgar/data/1817760/000110465926063286/tm261615-3_def14a.htm,going_concern
SMTK,2026-05-18,DEF 14A,0001104659-26-063286,tm261615-3_def14a.htm,delisting,https://www.sec.gov/Archives/edgar/data/1817760/000110465926063286/tm261615-3_def14a.htm,delisting_compliance
SMTK,2026-05-18,DEF 14A,0001104659-26-063286,tm261615-3_def14a.htm,compliance,https://www.sec.gov/Archives/edgar/data/1817760/000110465926063286/tm261615-3_def14a.htm,delisting_compliance
SMTK,2026-05-18,DEF 14A,0001104659-26-063286,tm261615-3_def14a.htm,dilution,https://www.sec.gov/Archives/edgar/data/1817760/000110465926063286/tm261615-3_def14a.htm,dilution
